Eliška Hinnerová,17
Kateřina Hrdá,68
Lukáš Dobeš,95
Libuše Buryšková,36
Ondřej Návara,20
Martina Rytířová,16
Zdeňka Koutná,46
Tereza Hubená,35
Robert Bořil,81
Adalbert Šílený,58
Julie Homolová,91
Marianna Wäber,-6
Klára Chludová,20
Filoména Bulíčková,37
Pavol Konštacký,93
Michaela Michálková,17
Judita Těšínská,40
Silvia Stránská,53
Ladislav Baník,11
Jarmila Molíková,35
Oldřich Kouba,91
Vlasta Hančlová,69
Zdena Hojná,93
Oleksandr Kotrla,13
Antonie Sukdolová,47
Kristýna Hofmanová,41
Viola Vopatová,41
Nikola Milfaitová,15
Vendula Dobešová,35
Bohuslav Král,84
Pavla Dvořáková,63
Bedřiška Piterková,64
Vojtěch Škoda,94
